file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G350_Watkins07_Unvax_r18066_B_D7-SIV_RNA1_Lib1_GL102_S60_rRNA_globinfilter.log	32731887	4582	0.01	44567	0.14	3415	0.01	91434	0.14	120362	0.18	0.48
../logs/rRNA_globinfilter/G351_Watkins07_Unvax_r18066_B_D10-SIV_RNA1_Lib1_GL102_S104_rRNA_globinfilter.log	44726733	7573	0.02	57113	0.13	4734	0.01	120575	0.14	141988	0.16	0.45
../logs/rRNA_globinfilter/G352_Watkins07_Unvax_r18066_B_D13-SIV_RNA1_Lib1_GL104_S1_rRNA_globinfilter.log	37998274	6097	0.02	51493	0.14	3203	0.01	79291	0.10	97720	0.13	0.39
../logs/rRNA_globinfilter/G353_Watkins07_Unvax_rh2494_B_D0-SIV_RNA1_Lib1_GL102_S55_rRNA_globinfilter.log	38266030	6238	0.02	59044	0.15	4133	0.01	105423	0.14	139449	0.18	0.50
../logs/rRNA_globinfilter/G354_Watkins07_Unvax_rh2494_B_D3-SIV_RNA1_Lib1_GL104_S40_rRNA_globinfilter.log	36924452	4066	0.01	37186	0.10	2693	0.01	80337	0.11	106650	0.14	0.37
../logs/rRNA_globinfilter/G355_Watkins07_Unvax_rh2494_B_D7-SIV_RNA1_Lib1_GL102_S39_rRNA_globinfilter.log	39839138	6459	0.02	58953	0.15	4018	0.01	99378	0.12	130718	0.16	0.46
../logs/rRNA_globinfilter/G356_Watkins07_Unvax_rh2494_B_D11-SIV_RNA1_Lib1_GL105_S61_rRNA_globinfilter.log	54934134	9063	0.02	70499	0.13	5717	0.01	128169	0.12	156938	0.14	0.41
../logs/rRNA_globinfilter/G357_Watkins07_Unvax_rh2494_B_D14-SIV_RNA2_Lib1_GL102_S74_rRNA_globinfilter.log	43385734	7278	0.02	55384	0.13	4478	0.01	113694	0.13	143025	0.17	0.45
../logs/rRNA_globinfilter/G358_Watkins07_Unvax_rh2504_B_D0-SIV_RNA1_Lib1_GL105_S94_rRNA_globinfilter.log	49102684	6327	0.01	56446	0.11	3932	0.01	108040	0.11	140282	0.14	0.39
../logs/rRNA_globinfilter/G359_Watkins07_Unvax_rh2504_B_D3-SIV_RNA1_Lib1_GL102_S78_rRNA_globinfilter.log	35717149	5803	0.02	50060	0.14	3714	0.01	95483	0.13	125862	0.18	0.48
../logs/rRNA_globinfilter/G360_Watkins07_Unvax_rh2504_B_D7-SIV_RNA1_Lib1_GL105_S90_rRNA_globinfilter.log	44369219	6350	0.01	53900	0.12	3728	0.01	107584	0.12	129460	0.15	0.41
../logs/rRNA_globinfilter/G361_Watkins07_Unvax_rh2504_B_D10-SIV_RNA1_Lib1_GL104_S80_rRNA_globinfilter.log	49032939	8196	0.02	59807	0.12	4719	0.01	125323	0.13	157245	0.16	0.44
../logs/rRNA_globinfilter/G362_Watkins07_Unvax_rh2504_B_D14-SIV_RNA1_Lib1_GL104_S8_rRNA_globinfilter.log	45113242	8575	0.02	83985	0.19	6179	0.01	123215	0.14	166562	0.19	0.54
../logs/rRNA_globinfilter/G363_Watkins07_Unvax_rh2527_B_D0-SIV_RNA1_Lib1_GL104_S67_rRNA_globinfilter.log	46723473	6522	0.01	51964	0.11	3717	0.01	113834	0.12	146126	0.16	0.41
../logs/rRNA_globinfilter/G364_Watkins07_Unvax_rh2527_B_D3-SIV_RNA1_Lib1_GL104_S63_rRNA_globinfilter.log	47831371	8423	0.02	69582	0.15	5056	0.01	127055	0.13	165964	0.17	0.48
../logs/rRNA_globinfilter/G365_Watkins07_Unvax_rh2527_B_D7-SIV_RNA1_Lib1_GL105_S82_rRNA_globinfilter.log	60396672	9385	0.02	81690	0.14	4862	0.01	138700	0.12	179551	0.15	0.42
../logs/rRNA_globinfilter/G366_Watkins07_Unvax_rh2527_B_D10-SIV_RNA1_Lib1_GL104_S61_rRNA_globinfilter.log	44814661	6389	0.01	42730	0.10	3986	0.01	84660	0.09	110832	0.12	0.34
../logs/rRNA_globinfilter/G367_Watkins07_Unvax_rh2527_B_D14-SIV_RNA1_Lib1_GL105_S76_rRNA_globinfilter.log	51467911	7284	0.01	63315	0.12	5016	0.01	119940	0.12	153467	0.15	0.41
../logs/rRNA_globinfilter/G368_Watkins07_Unvax_rh2756_B_D0-SIV_RNA1_Lib1_GL102_S3_rRNA_globinfilter.log	30999293	5102	0.02	39631	0.13	3091	0.01	82668	0.13	103569	0.17	0.45
../logs/rRNA_globinfilter/G369_Watkins07_Unvax_rh2756_B_D3-SIV_RNA1_Lib1_GL102_S9_rRNA_globinfilter.log	37188786	5867	0.02	46452	0.12	3472	0.01	88147	0.12	114966	0.15	0.42
../logs/rRNA_globinfilter/G370_Watkins07_Unvax_rh2756_B_D7-SIV_RNA1_Lib1_GL104_S9_rRNA_globinfilter.log	41538658	6344	0.02	48453	0.12	3633	0.01	101231	0.12	124466	0.15	0.41
../logs/rRNA_globinfilter/G371_Watkins07_Unvax_rh2756_B_D10-SIV_RNA1_Lib1_GL105_S68_rRNA_globinfilter.log	56327995	11455	0.02	78126	0.14	7792	0.01	142597	0.13	170358	0.15	0.45
../logs/rRNA_globinfilter/G372_Watkins07_Unvax_rh2756_B_D14-SIV_RNA1_Lib1_GL104_S48_rRNA_globinfilter.log	46696675	7062	0.02	57390	0.12	3712	0.01	106361	0.11	137180	0.15	0.41
../logs/rRNA_globinfilter/G373_Watkins07_Unvax_rh2810_B_D0-SIV_RNA1_Lib1_GL105_S86_rRNA_globinfilter.log	41270089	6684	0.02	53833	0.13	4106	0.01	103241	0.13	132089	0.16	0.44
../logs/rRNA_globinfilter/G374_Watkins07_Unvax_rh2810_B_D3-SIV_RNA1_Lib1_GL104_S15_rRNA_globinfilter.log	39804831	7227	0.02	53567	0.13	4273	0.01	107936	0.14	129675	0.16	0.46
../logs/rRNA_globinfilter/G375_Watkins07_Unvax_rh2810_B_D7-SIV_RNA1_Lib1_GL104_S20_rRNA_globinfilter.log	39102412	6036	0.02	50324	0.13	3843	0.01	110028	0.14	139902	0.18	0.47
../logs/rRNA_globinfilter/G376_Watkins07_Unvax_rh2810_B_D10-SIV_RNA1_Lib1_GL102_S63_rRNA_globinfilter.log	36979673	6480	0.02	53024	0.14	3826	0.01	95756	0.13	120061	0.16	0.46
